"county","tract","blockgroup","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Block group","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","blockgroup-to-cbsa20 allocation factor"
"01001","0201.00","1","33860","Autauga AL","Montgomery, AL",575,1 
"01001","0201.00","2","33860","Autauga AL","Montgomery, AL",1200,1 
"01001","0202.00","1","33860","Autauga AL","Montgomery, AL",974,1 
"01001","0202.00","2","33860","Autauga AL","Montgomery, AL",1081,1 
"01001","0203.00","1","33860","Autauga AL","Montgomery, AL",2377,1 
"01001","0203.00","2","33860","Autauga AL","Montgomery, AL",839,1 
"01001","0204.00","1","33860","Autauga AL","Montgomery, AL",942,1 
"01001","0204.00","2","33860","Autauga AL","Montgomery, AL",1902,1 
"01001","0204.00","3","33860","Autauga AL","Montgomery, AL",867,1 
"01001","0204.00","4","33860","Autauga AL","Montgomery, AL",535,1 
"01001","0205.01","1","33860","Autauga AL","Montgomery, AL",2390,1 
"01001","0205.01","2","33860","Autauga AL","Montgomery, AL",1932,1 
"01001","0205.02","1","33860","Autauga AL","Montgomery, AL",2003,1 
"01001","0205.02","2","33860","Autauga AL","Montgomery, AL",1281,1 
"01001","0205.03","1","33860","Autauga AL","Montgomery, AL",764,1 
"01001","0205.03","2","33860","Autauga AL","Montgomery, AL",1327,1 
"01001","0205.03","3","33860","Autauga AL","Montgomery, AL",1525,1 
"01001","0206.00","1","33860","Autauga AL","Montgomery, AL",1181,1 
"01001","0206.00","2","33860","Autauga AL","Montgomery, AL",614,1 
"01001","0206.00","3","33860","Autauga AL","Montgomery, AL",1934,1 
"01001","0207.00","1","33860","Autauga AL","Montgomery, AL",1211,1 
"01001","0207.00","2","33860","Autauga AL","Montgomery, AL",1074,1 
"01001","0207.00","3","33860","Autauga AL","Montgomery, AL",1124,1 
"01001","0208.01","1","33860","Autauga AL","Montgomery, AL",976,1 
"01001","0208.01","2","33860","Autauga AL","Montgomery, AL",864,1 
"01001","0208.01","3","33860","Autauga AL","Montgomery, AL",1303,1 
"01001","0208.03","1","33860","Autauga AL","Montgomery, AL",823,1 
"01001","0208.03","2","33860","Autauga AL","Montgomery, AL",587,1 
"01001","0208.03","3","33860","Autauga AL","Montgomery, AL",1599,1 
"01001","0208.03","4","33860","Autauga AL","Montgomery, AL",1626,1 
"01001","0208.04","1","33860","Autauga AL","Montgomery, AL",1702,1 
"01001","0208.04","2","33860","Autauga AL","Montgomery, AL",4362,1 
"01001","0208.05","1","33860","Autauga AL","Montgomery, AL",1092,1 
"01001","0208.05","2","33860","Autauga AL","Montgomery, AL",2030,1 
"01001","0209.01","1","33860","Autauga AL","Montgomery, AL",1341,1 
"01001","0209.01","2","33860","Autauga AL","Montgomery, AL",1927,1 
"01001","0209.02","1","33860","Autauga AL","Montgomery, AL",1396,1 
"01001","0209.02","2","33860","Autauga AL","Montgomery, AL",1695,1 
"01001","0210.00","1","33860","Autauga AL","Montgomery, AL",793,1 
"01001","0210.00","2","33860","Autauga AL","Montgomery, AL",1026,1 
"01001","0210.00","3","33860","Autauga AL","Montgomery, AL",826,1 
"01001","0211.00","1","33860","Autauga AL","Montgomery, AL",517,1 
"01001","0211.00","2","33860","Autauga AL","Montgomery, AL",822,1 
"01001","0211.00","3","33860","Autauga AL","Montgomery, AL",999,1 
"01001","0211.00","4","33860","Autauga AL","Montgomery, AL",847,1 
"01003","0101.00","1","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",538,1 
"01003","0101.00","2","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1472,1 
"01003","0101.00","3","19300","Baldwin AL","Daphne-Fairhope-Foley, AL",1735,1 
