"county","tract","blockgroup","ur","CountyName","pop20","afact"
"County code","Tract","Block group","Urban/rural (2022)","County name","Total population (2020 Census)","blockgroup-to-ur allocation factor"
"01001","0201.00","1","R","Autauga AL",201,0.3496 
"01001","0201.00","1","U","Autauga AL",374,0.6504 
"01001","0201.00","2","R","Autauga AL",77,0.0642 
"01001","0201.00","2","U","Autauga AL",1123,0.9358 
"01001","0202.00","1","U","Autauga AL",974,1 
"01001","0202.00","2","U","Autauga AL",1081,1 
"01001","0203.00","1","R","Autauga AL",3,0.0013 
"01001","0203.00","1","U","Autauga AL",2374,0.9987 
"01001","0203.00","2","U","Autauga AL",839,1 
"01001","0204.00","1","R","Autauga AL",176,0.1868 
"01001","0204.00","1","U","Autauga AL",766,0.8132 
"01001","0204.00","2","U","Autauga AL",1902,1 
"01001","0204.00","3","U","Autauga AL",867,1 
"01001","0204.00","4","U","Autauga AL",535,1 
"01001","0205.01","1","U","Autauga AL",2390,1 
"01001","0205.01","2","U","Autauga AL",1932,1 
"01001","0205.02","1","U","Autauga AL",2003,1 
"01001","0205.02","2","U","Autauga AL",1281,1 
"01001","0205.03","1","U","Autauga AL",764,1 
"01001","0205.03","2","U","Autauga AL",1327,1 
"01001","0205.03","3","U","Autauga AL",1525,1 
"01001","0206.00","1","R","Autauga AL",23,0.0195 
"01001","0206.00","1","U","Autauga AL",1158,0.9805 
"01001","0206.00","2","U","Autauga AL",614,1 
"01001","0206.00","3","U","Autauga AL",1934,1 
"01001","0207.00","1","U","Autauga AL",1211,1 
"01001","0207.00","2","U","Autauga AL",1074,1 
"01001","0207.00","3","R","Autauga AL",41,0.0365 
"01001","0207.00","3","U","Autauga AL",1083,0.9635 
"01001","0208.01","1","R","Autauga AL",835,0.8555 
"01001","0208.01","1","U","Autauga AL",141,0.1445 
"01001","0208.01","2","R","Autauga AL",764,0.8843 
"01001","0208.01","2","U","Autauga AL",100,0.1157 
"01001","0208.01","3","R","Autauga AL",1303,1 
"01001","0208.03","1","R","Autauga AL",823,1 
"01001","0208.03","2","R","Autauga AL",587,1 
"01001","0208.03","3","R","Autauga AL",1599,1 
"01001","0208.03","4","R","Autauga AL",1626,1 
"01001","0208.04","1","R","Autauga AL",495,0.2908 
"01001","0208.04","1","U","Autauga AL",1207,0.7092 
"01001","0208.04","2","R","Autauga AL",734,0.1683 
"01001","0208.04","2","U","Autauga AL",3628,0.8317 
"01001","0208.05","1","R","Autauga AL",414,0.3791 
"01001","0208.05","1","U","Autauga AL",678,0.6209 
"01001","0208.05","2","R","Autauga AL",2030,1 
"01001","0209.01","1","R","Autauga AL",1341,1 
"01001","0209.01","2","R","Autauga AL",1927,1 
"01001","0209.02","1","R","Autauga AL",1396,1 
"01001","0209.02","2","R","Autauga AL",1695,1 
"01001","0210.00","1","R","Autauga AL",793,1 
"01001","0210.00","2","R","Autauga AL",1026,1 
"01001","0210.00","3","R","Autauga AL",826,1 
"01001","0211.00","1","R","Autauga AL",517,1 
"01001","0211.00","2","R","Autauga AL",822,1 
"01001","0211.00","3","R","Autauga AL",999,1 
"01001","0211.00","4","R","Autauga AL",847,1 
"01003","0101.00","1","R","Baldwin AL",538,1 
"01003","0101.00","2","R","Baldwin AL",1472,1 
"01003","0101.00","3","R","Baldwin AL",1735,1 
"01003","0102.00","1","R","Baldwin AL",1571,0.8911 
"01003","0102.00","1","U","Baldwin AL",192,0.1089 
"01003","0102.00","2","R","Baldwin AL",1237,1 
"01003","0103.00","1","R","Baldwin AL",1053,1 
"01003","0103.00","2","R","Baldwin AL",2745,1 
"01003","0103.00","3","R","Baldwin AL",1727,1 
"01003","0103.00","4","R","Baldwin AL",775,1 
"01003","0103.00","5","R","Baldwin AL",1312,0.6308 
"01003","0103.00","5","U","Baldwin AL",768,0.3692 
"01003","0104.00","1","R","Baldwin AL",952,1 
"01003","0104.00","2","R","Baldwin AL",1692,1 
"01003","0104.00","3","R","Baldwin AL",2810,0.9129 
"01003","0104.00","3","U","Baldwin AL",268,0.0871 
"01003","0105.00","1","R","Baldwin AL",48,0.0349 
"01003","0105.00","1","U","Baldwin AL",1327,0.9651 
"01003","0105.00","2","U","Baldwin AL",1113,1 
"01003","0105.00","3","R","Baldwin AL",356,0.2502 
"01003","0105.00","3","U","Baldwin AL",1067,0.7498 
"01003","0105.00","4","R","Baldwin AL",23,0.0245 
"01003","0105.00","4","U","Baldwin AL",916,0.9755 
"01003","0106.00","1","R","Baldwin AL",171,0.2058 
"01003","0106.00","1","U","Baldwin AL",660,0.7942 
"01003","0106.00","2","U","Baldwin AL",843,1 
"01003","0106.00","3","R","Baldwin AL",1029,0.6596 
"01003","0106.00","3","U","Baldwin AL",531,0.3404 
"01003","0107.04","1","U","Baldwin AL",2860,1 
"01003","0107.04","2","U","Baldwin AL",2447,1 
"01003","0107.06","1","R","Baldwin AL",115,0.0868 
"01003","0107.06","1","U","Baldwin AL",1210,0.9132 
"01003","0107.06","2","U","Baldwin AL",2713,1 
"01003","0107.07","1","R","Baldwin AL",49,0.0427 
"01003","0107.07","1","U","Baldwin AL",1098,0.9573 
"01003","0107.07","2","U","Baldwin AL",1828,1 
"01003","0107.07","3","R","Baldwin AL",70,0.0347 
"01003","0107.07","3","U","Baldwin AL",1949,0.9653 
"01003","0107.08","1","R","Baldwin AL",38,0.0345 
"01003","0107.08","1","U","Baldwin AL",1063,0.9655 
"01003","0107.08","2","R","Baldwin AL",1948,0.42 
"01003","0107.08","2","U","Baldwin AL",2690,0.58 
"01003","0107.08","3","R","Baldwin AL",497,0.1701 
"01003","0107.08","3","U","Baldwin AL",2425,0.8299 
"01003","0107.08","4","R","Baldwin AL",437,0.1495 
"01003","0107.08","4","U","Baldwin AL",2487,0.8505 
"01003","0107.09","1","R","Baldwin AL",628,0.1425 
"01003","0107.09","1","U","Baldwin AL",3779,0.8575 
"01003","0107.09","2","R","Baldwin AL",528,0.2178 
"01003","0107.09","2","U","Baldwin AL",1896,0.7822 
