"state","puma22","ur","stab","PUMA22name","pop20","afact"
"State code","PUMA (2022)","Urban/rural (2022)","State abbr.","PUMA22 name","Total population (2020 Census)","puma22-to-ur allocation factor"
"01","00100","R","AL","Lauderdale, Colbert & Franklin Counties",94040,0.5141 
"01","00100","U","AL","Lauderdale, Colbert & Franklin Counties",88864,0.4859 
"01","00200","R","AL","Limestone County",52834,0.5101 
"01","00200","U","AL","Limestone County",50736,0.4899 
"01","00300","R","AL","Morgan & Lawrence Counties--Decatur City",80511,0.5145 
"01","00300","U","AL","Morgan & Lawrence Counties--Decatur City",75983,0.4855 
"01","00401","R","AL","Madison County (North & East)--Huntsville City (East)",52092,0.459 
"01","00401","U","AL","Madison County (North & East)--Huntsville City (East)",61410,0.541 
"01","00402","R","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",1941,0.0127 
"01","00402","U","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",151156,0.9873 
"01","00403","R","AL","Huntsville City (Central & South)",1089,0.0101 
"01","00403","U","AL","Huntsville City (Central & South)",106894,0.9899 
"01","00501","R","AL","Marshall & Madison (Far Southeast) Counties",63631,0.5723 
"01","00501","U","AL","Marshall & Madison (Far Southeast) Counties",47552,0.4277 
"01","00600","R","AL","DeKalb & Jackson Counties",102825,0.828 
"01","00600","U","AL","DeKalb & Jackson Counties",21362,0.172 
"01","00700","R","AL","Etowah & Cherokee Counties",69624,0.5422 
"01","00700","U","AL","Etowah & Cherokee Counties",58783,0.4578 
"01","00800","R","AL","Calhoun County",42494,0.3649 
"01","00800","U","AL","Calhoun County",73947,0.6351 
"01","00900","R","AL","St. Clair & Blount Counties",114650,0.7631 
"01","00900","U","AL","St. Clair & Blount Counties",35587,0.2369 
"01","01000","R","AL","Cullman, Marion & Winston Counties",119307,0.8477 
"01","01000","U","AL","Cullman, Marion & Winston Counties",21440,0.1523 
"01","01100","R","AL","West Alabama",119665,0.9505 
"01","01100","U","AL","West Alabama",6227,0.0495 
"01","01201","R","AL","Tuscaloosa County (Outer)--Northport City (North & West)",68238,0.6755 
"01","01201","U","AL","Tuscaloosa County (Outer)--Northport City (North & West)",32774,0.3245 
"01","01202","R","AL","Tuscaloosa & Northport (Southeast) Cities",2348,0.0186 
"01","01202","U","AL","Tuscaloosa & Northport (Southeast) Cities",123676,0.9814 
"01","01301","R","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",81724,0.7056 
"01","01301","U","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",34093,0.2944 
"01","01401","R","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",32898,0.2778 
"01","01401","U","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",85511,0.7222 
